,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,10,21,0.323,-17.2,-6.34,,4,14,,7,6,,1,14,,63.7,70.5,,40,22.4,54.3,0.413,7.48,19.7,0.38,11.4,15.7,0.727,8.84,28.9,12.7,6.55,1.23,12.9,21.3
2,Air Force,31,14,17,0.452,-1.85,-0.71,,6,12,,11,5,,1,11,,65.7,65.1,,40.2,23.9,50.5,0.474,7.48,20.2,0.371,10.4,15.7,0.659,8.55,30,15.6,6.29,2.1,11.8,17.8
3,Akron,35,21,14,0.6,3.65,-0.47,,9,9,,15,3,,2,9,,68.1,62.9,,40.2,23.5,56.6,0.416,9.37,26.8,0.35,11.6,17.6,0.658,12,35.7,12.4,6.57,4.43,12.1,18.7
4,Alabama,34,19,15,0.559,10.52,8.09,,8,10,,14,5,,4,8,,67.1,64.1,,40.3,22.4,50.7,0.441,6.5,20.5,0.317,15.9,22.1,0.717,9.56,33,10.3,6.44,3.68,12,19.2
5,Alabama A&M,29,9,20,0.31,-17.15,-9.62,,8,10,,4,7,,5,12,,62,68.6,,40.2,21,52.9,0.397,5.72,19.9,0.288,14.3,22.2,0.645,12.7,34.4,12.2,5.69,2.34,14.2,19.8
6,Alabama State,29,19,10,0.655,-8.97,-12.71,,14,4,,9,3,,8,5,,72.1,66.8,,40.2,26.2,59.9,0.438,5.93,16.6,0.358,13.7,21,0.65,13.4,39.7,13.6,6.34,4.21,13.7,17.9
7,Albany (NY) ,33,24,9,0.727,-0.34,-5.18,,15,1,,12,3,,12,5,,65.3,60.5,,40.2,22.1,50.5,0.438,6.21,17.3,0.358,14.9,19.7,0.758,10.1,33.7,10.6,5.67,1.61,11.5,16.5
8,Alcorn State,32,6,26,0.188,-20.75,-9.95,,4,14,,4,7,,1,15,,64.6,74.3,,40,22.6,58.3,0.388,4.84,17.3,0.28,14.5,22,0.658,11.8,32.4,8.91,5.97,2.69,11.5,17.8
9,American,33,17,16,0.515,-3.56,-3.71,,8,10,,8,3,,7,13,,58.7,58.6,,40.6,20.7,44.8,0.462,6.45,17.3,0.373,10.9,15.4,0.705,5.7,25.1,12.4,5.94,2.55,11.2,14.7
10,Appalachian State,29,12,17,0.414,-9.81,-3.18,,9,11,,7,5,,5,12,,63.5,70.1,,40,22,55.2,0.398,6.41,20.3,0.316,13.1,18.5,0.709,11.3,34.8,11,4.21,2.1,13.7,19
11,Arizona ,38,34,4,0.895,24.33,7.41,,16,2,,17,0,,8,3,,76.6,59.7,,40.1,26.6,54.4,0.488,5.08,14.1,0.36,18.4,25.6,0.719,10.8,36.8,13.9,7.24,3.45,11,17.9
12,Arizona State,34,18,16,0.529,9.52,6.66,,9,9,,15,3,,3,10,,69.4,66.6,,40.7,23.8,53.5,0.445,6.79,19.4,0.35,15,22.5,0.667,10.7,34.8,12.7,5.85,2.32,13.9,18.8
13,Arkansas ,36,27,9,0.75,14.07,6.79,,13,5,,17,2,,7,5,,77.4,70.1,,40.3,27.2,61,0.445,6.61,18.9,0.349,16.5,22.8,0.724,13.1,35.8,16.1,7.69,4.67,11.9,19
14,Arkansas State,29,11,18,0.379,-10.1,-3.81,,6,14,,5,9,,6,9,,64.4,69.6,,40.3,22.9,56.2,0.407,5.83,17.7,0.329,12.8,18.3,0.702,11,35.8,11.1,5.31,3.07,13.4,17.1
15,Arkansas-Pine Bluff,32,12,20,0.375,-15.65,-8.61,,9,9,,5,4,,5,13,,59.8,66.9,,40.2,20.5,51.2,0.4,6.34,19.1,0.332,12.4,18.3,0.68,10.2,29,10.1,8.84,3.38,15.3,19.5
16,Army,30,15,15,0.5,-6.5,-4.98,,6,12,,7,7,,7,8,,72.1,72.1,,40.5,26,58.9,0.441,7.57,23.2,0.326,12.6,18.6,0.68,10.8,34.4,14.6,6.4,3.53,13.2,20.4
17,Auburn,35,15,20,0.429,3.27,8.15,,4,14,,9,8,,2,10,,67.9,72.1,,40.4,21.7,53.7,0.404,7.2,20.8,0.347,17.3,26,0.666,10.2,31.5,10.7,6.8,2.54,12.9,20.2
18,Austin Peay,30,8,22,0.267,-12.45,-2.81,,3,13,,6,7,,1,14,,64.6,72.6,,40,22.1,55.6,0.398,5.17,17.1,0.302,15.2,22.8,0.666,12.4,34.8,12,6.37,4.13,14.3,17.1
19,Ball State,30,7,23,0.233,-5.06,0.04,,2,16,,6,9,,1,14,,65.4,69,,40.9,22.3,52.7,0.423,7.8,22.8,0.342,13,18.7,0.693,10.1,32.7,12.8,5.3,2.37,14.1,19.2
20,Baylor ,34,24,10,0.706,17.85,9.33,,11,7,,16,2,,6,5,,69.1,60.2,,40.3,23.9,55.1,0.434,6.94,18.4,0.377,14.3,21.3,0.674,14.6,39.2,14.6,7.74,3.88,12.8,16.6
21,Belmont ,33,22,11,0.667,0.35,-2.77,,11,5,,12,2,,7,8,,74.2,70.6,,40,26,54.6,0.476,9.97,26.2,0.38,12.3,17.7,0.692,9.3,33.1,15.3,6.33,2,13.7,16.6
22,Bethune-Cookman,32,11,21,0.344,-15.52,-10.45,,7,9,,6,8,,4,11,,59.3,62.6,,40,19.6,49,0.4,5.09,16.9,0.301,15.1,21,0.717,11.6,33,8.25,5.44,2.63,14,19.5
23,Binghamton,32,6,26,0.188,-13.45,-3.49,,5,11,,5,9,,1,15,,57.7,66.4,,40.2,19.8,49.9,0.396,5.34,17.3,0.309,12.8,19.3,0.66,9,31,8.69,5.81,2.5,13.5,18
24,Boise State ,34,25,9,0.735,10.01,1.38,,14,4,,13,1,,8,5,,70.3,60.1,,40.7,24.4,53.6,0.456,8.74,22.3,0.392,12.7,17.4,0.729,8.76,32.9,12,6.06,2.32,10.2,17.1
25,Boston College,32,13,19,0.406,6.32,7.94,,4,14,,9,8,,2,7,,65.8,67.4,,40.6,23.2,52.1,0.445,6.47,19.9,0.324,12.9,18.3,0.705,8.22,30.7,13.2,5.72,2.69,12.2,19
26,Boston University,30,13,17,0.433,-5.63,-3.12,,9,9,,8,6,,5,10,,67.9,69.6,,40.3,22.3,49.9,0.446,7.73,21,0.368,15.6,22.5,0.696,8.77,31.8,12.3,5.67,1.87,12.3,17.4
27,Bowling Green State,33,21,12,0.636,2.93,-1.25,,11,7,,11,6,,10,5,,66.5,62.9,,40.2,23.6,54.7,0.431,6.61,19.6,0.337,12.7,17.8,0.714,10.8,35,12.3,6.64,3.73,11.7,16.7
28,Bradley,33,9,24,0.273,-4.3,1.52,,3,15,,7,9,,1,10,,57,61.4,,40.6,19.4,51.5,0.376,5.42,18,0.301,12.9,19.4,0.663,11.4,33.3,9.33,6.88,2.82,12.7,19.5
29,Brigham Young ,35,25,10,0.714,13.53,5.02,,13,5,,13,3,,8,3,,83.7,73.2,,40.6,27.9,59.7,0.467,8.57,21.8,0.393,19.4,25.3,0.766,12,38.5,17,7.34,2.94,11.9,20.6
30,Brown,31,13,18,0.419,-7.23,-1.99,,4,10,,9,6,,3,11,,66.1,69.2,,40.2,22.1,52.4,0.423,5.65,17.7,0.319,16.2,23.5,0.689,10.5,36.4,11.9,4.48,4.45,14.8,19.1
31,Bryant,31,16,15,0.516,-6.28,-4.93,,12,6,,9,5,,7,10,,66.4,67.7,,40.5,22.9,54.3,0.421,7.29,21.1,0.346,13.4,17.8,0.75,9.87,33.2,12.3,5.06,2.48,11.8,18.1
32,Bucknell,34,19,15,0.559,-3.66,-2.75,,13,5,,12,4,,6,11,,68.8,69,,40.6,23.5,53.8,0.438,6.85,17.8,0.385,14.9,21.4,0.697,10,33.7,13.1,4.09,2.79,11.1,18.6
33,Buffalo ,33,23,10,0.697,7.93,1.6,,12,6,,11,2,,9,7,,74.6,68.3,,40,25.4,58.2,0.435,6.03,17.7,0.341,17.8,24.8,0.719,12.7,38.2,13.1,7.52,4,11.5,18.6
34,Butler ,34,23,11,0.676,16.64,8.62,,12,6,,13,3,,7,4,,69,61,,40.6,23.9,55.4,0.433,5.65,15.9,0.356,15.5,22.6,0.686,12,36.4,11.4,6.38,3.03,11.1,17.4
35,Cal Poly,29,13,16,0.448,-0.57,0.43,,6,10,,7,4,,5,10,,60.4,59.3,,40.3,21.4,54.8,0.39,5.72,18.4,0.311,11.9,17.4,0.684,11.8,34.6,10.2,5.45,3,8.79,16
36,Cal State Bakersfield,33,14,19,0.424,-6.4,-5.8,,7,7,,9,5,,3,10,,63.6,61.5,,40.8,21.7,51.6,0.42,5.64,16.8,0.336,14.7,20.3,0.723,11.2,34.6,12.9,5.76,1.79,12.4,20.4
37,Cal State Fullerton,31,9,22,0.29,-8.58,-1.06,,1,15,,6,9,,1,13,,64.2,69.5,,40.5,22.5,54.7,0.412,5.39,16.9,0.319,13.8,20.1,0.687,10.4,35.1,9.84,5.03,2,12.6,18.3
38,Cal State Northridge,33,9,24,0.273,-6.61,0.39,,4,12,,7,9,,1,14,,65.1,70.5,,40.3,22.4,52.8,0.425,3.33,10.2,0.326,16.9,22.1,0.765,9.85,34.3,13.4,5.45,3.79,13.2,18.1
39,California,33,18,15,0.545,5.36,6.15,,7,11,,11,7,,5,6,,66.5,67.3,,40.3,24.9,56.6,0.44,5.61,15.6,0.359,11.2,17.2,0.649,9.06,35.5,12.5,4.15,3.85,11.1,19
40,Campbell,32,10,22,0.313,-11.13,-5.3,,4,14,,9,6,,1,15,,63.9,66.4,,40.2,22,51.7,0.426,8.19,23,0.356,11.7,18.7,0.625,9.53,30.9,13.1,7.06,2.88,12.6,18
41,Canisius,33,18,15,0.545,-0.04,-2.79,,11,9,,10,5,,8,8,,65.7,62.9,,40.3,23.1,56.5,0.409,6.52,20.5,0.318,13,18.1,0.72,12.2,35.1,14.1,6.76,3.27,11.9,18.4
42,Central Arkansas,29,2,27,0.069,-22.84,-5.94,,2,16,,2,11,,0,16,,65.3,82.2,,40,22.3,52.6,0.424,6.76,19.2,0.353,14,20.7,0.678,9.41,31.1,12.4,6.28,3.93,18.2,20.8
43,Central Connecticut State,31,5,26,0.161,-16.56,-5.62,,3,15,,4,9,,1,13,,59.2,70.1,,40.2,21.7,54,0.402,4.71,14.6,0.322,11,15.5,0.71,10.7,33.7,11,4.94,3.52,13.7,13.8
44,Central Michigan,32,23,9,0.719,5.56,-1.1,,12,6,,16,1,,6,7,,78.3,68.3,,40.2,26.5,56.8,0.467,10.1,27,0.373,15.2,20.9,0.725,10.2,33.8,14,7.06,2.63,10.2,17.6
45,Charleston Southern,31,19,12,0.613,-4.48,-5.23,,13,5,,13,2,,6,9,,73.5,68.7,,40.6,25.1,59.5,0.421,9.29,27.3,0.341,14,20.4,0.687,13,37.8,12.8,6.9,2.23,11.4,17.4
46,Charlotte,32,14,18,0.438,1.76,0.35,,7,11,,7,6,,5,9,,73.8,72.4,,41.3,26.8,57.9,0.463,6.28,16.7,0.377,13.9,21.4,0.65,11.9,36.4,13.7,6.47,2.5,13.6,17.4
47,Chattanooga,32,22,10,0.688,-1.63,-4.06,,15,3,,15,2,,7,7,,72.7,66.9,,40.8,24.8,54.8,0.452,6.78,19.4,0.349,16.3,23.8,0.685,11.6,34.9,12,6.56,6.34,13.1,19.4
48,Chicago State,32,8,24,0.25,-14.76,-2.48,,4,10,,7,5,,1,16,,58,66.1,,40.2,20.6,54.6,0.377,6.06,20.1,0.301,10.7,16.1,0.667,12.2,32.8,9.22,8.38,2.91,14.7,21.3
49,Cincinnati ,34,23,11,0.676,10.72,4.4,,13,5,,15,3,,6,5,,62.1,55.8,,40.6,22.4,50.1,0.446,4.91,14.9,0.329,12.5,18.6,0.67,11.3,34.6,11.6,6.53,5.44,12.7,14.9
50,Clemson,31,16,15,0.516,7.73,7.18,,8,10,,11,6,,3,7,,62.7,62.2,,40.3,22.2,54.4,0.409,5.52,18.5,0.299,12.7,18.7,0.682,11.9,36.2,10.6,5.42,4.77,11.8,16.2
51,Cleveland State,34,19,15,0.559,3.07,-0.78,,11,5,,12,3,,6,12,,67.5,61.7,,39.3,24.6,53.5,0.459,7.26,19,0.382,11.6,16.9,0.687,10.4,31.5,13.4,7.82,3.29,12,19.2
52,Coastal Carolina ,34,24,10,0.706,-1.02,-6.18,,12,6,,14,2,,8,7,,71.7,62.4,,40,24.6,55.9,0.44,6.71,18.6,0.36,15.8,22.9,0.69,13.1,39.4,11.3,7.06,3.26,11.7,16.4
53,Colgate,33,16,17,0.485,-2.91,-3.41,,12,6,,10,5,,6,12,,66,64.4,,40.8,24.4,50.3,0.484,7.67,19.7,0.39,9.58,13.7,0.698,6.94,30.1,13.5,5.15,2.7,11.5,16.9
54,College of Charleston,33,9,24,0.273,-7.23,-1.26,,3,15,,5,9,,2,12,,58.6,64.6,,40.3,20.8,51.8,0.402,5.97,17.4,0.343,11.1,16.8,0.66,9.52,32.2,9.61,5.52,2.91,12,20.6
55,Colorado,34,16,18,0.471,7.01,6.19,,7,11,,12,5,,2,11,,69,68.1,,40.6,23.9,54.7,0.436,5.26,15.7,0.335,15.9,22.4,0.713,11.8,37.3,11.8,5.71,3.91,13.2,18.1
56,Colorado State,34,27,7,0.794,8.12,0.69,,13,5,,15,2,,8,4,,72.2,64.1,,40.1,24.6,55.9,0.44,7.21,20.6,0.351,15.7,23.4,0.674,12.1,37.9,14.7,5.59,3.41,10.6,16.9
57,Columbia,28,13,15,0.464,-0.38,-1.49,,5,9,,9,7,,4,7,,64.9,62,,40,22.8,51.9,0.438,8.71,23.9,0.364,10.6,14.9,0.716,10.3,32.7,11.9,4.89,3.57,11.7,17.9
58,Connecticut,35,20,15,0.571,8.28,4.22,,10,8,,11,5,,4,7,,64.1,60,,40.1,22.9,52.1,0.439,6.46,18.2,0.355,11.9,16.9,0.707,9.46,33.7,11.9,4.74,5.23,11.5,16.4
59,Coppin State,31,8,23,0.258,-17.84,-4.78,,6,10,,4,7,,3,15,,71.6,82.5,,40,24.5,61.5,0.398,9.52,26.6,0.357,13.2,19,0.692,10.3,32.1,12.6,6.68,3.19,13.5,20.4
60,Cornell,30,13,17,0.433,-3.58,-1.92,,5,9,,8,5,,5,9,,62.3,61.3,,40.3,20.5,51.9,0.395,6.03,19.3,0.313,15.2,20.3,0.749,8.27,32.7,10.4,6.23,4.73,12,19
61,Creighton,33,14,19,0.424,7.48,7.05,,4,14,,9,8,,3,9,,67.3,66.9,,40.6,22.6,53.8,0.42,7.94,23,0.345,14.2,19.5,0.725,10.5,34.5,13.6,4.45,2.33,11.8,17.9
62,Dartmouth,29,14,15,0.483,-3.11,-3.32,,7,7,,8,4,,6,11,,63.3,63.1,,40.3,22.7,52.1,0.435,5.97,17.2,0.346,12,18.6,0.646,10.3,32.7,12.3,7.66,3.48,12.9,19.2
63,Davidson ,32,24,8,0.75,11.97,3.19,,14,4,,14,1,,9,4,,79,69.4,,40.2,28.1,60.1,0.467,10.7,27.4,0.391,12.2,17.3,0.705,10.5,35.8,17.1,5.34,2.91,9.47,18.8
64,Dayton ,36,27,9,0.75,10.98,4.06,,13,5,,16,0,,5,6,,67.8,60.8,,40.1,22.5,48.8,0.462,6.64,18.6,0.357,16.1,23.5,0.686,7.08,31.1,13.6,6.94,2.53,11.5,15.9
65,Delaware,30,10,20,0.333,-7.76,-1.69,,9,9,,5,8,,5,10,,66,72,,40.5,22.5,54.9,0.41,6.63,19.2,0.345,14.3,20.9,0.686,10.5,35.4,12.5,4.27,3.6,12.2,17.4
66,Delaware State,36,18,18,0.5,-10.78,-6.75,,9,7,,6,6,,9,11,,70.4,72.4,,40.1,24.7,58.9,0.419,7.83,22.2,0.353,13.2,18.7,0.707,11.8,38.2,11.9,4.97,3.92,13.4,17.1
67,Denver,30,12,18,0.4,-3.96,-3.13,,6,10,,9,7,,3,10,,62.2,63,,40.5,21.9,45.6,0.48,7.47,19.6,0.38,10.9,14.2,0.766,4.93,23.9,15.2,5.97,1.83,11.3,20.4
68,DePaul,32,12,20,0.375,3.3,7.49,,6,12,,9,7,,3,9,,69.4,73.6,,40.2,23.7,54.3,0.435,7.75,22,0.352,14.3,19.8,0.721,9.13,30.3,12.3,6.63,3.81,13.4,21.2
69,Detroit Mercy,33,15,18,0.455,-2.25,0.13,,7,9,,10,6,,3,11,,70.7,70.8,,40.5,25.5,57.2,0.445,7,18.2,0.384,12.8,18.8,0.683,10.4,33.6,13.5,7.7,3.39,13.2,20.8
70,Drake,31,9,22,0.29,-6.04,2.22,,6,12,,8,7,,1,11,,59.5,66.8,,40.3,20.5,45,0.456,6.45,15.8,0.408,11.9,15.5,0.768,6.19,26.1,11.9,4.45,1.94,13.2,15.6
71,Drexel,30,11,19,0.367,-5.71,-0.85,,9,9,,5,9,,5,6,,59.6,64.3,,40.2,20.5,52.3,0.391,5.87,18,0.326,12.8,17.1,0.745,9.57,31.6,10.6,5.17,3.67,10.4,17.4
72,Duke ,39,35,4,0.897,24.97,9.87,,15,3,,15,1,,9,2,,79.3,64.2,,40.3,28.2,56.2,0.502,7.26,18.8,0.387,15.6,22.4,0.699,11.4,36.8,15.1,7.13,3.82,10.8,15.6
73,Duquesne,31,12,19,0.387,-2.93,1.41,,6,12,,9,7,,2,10,,71.4,74.3,,40.2,25.9,57.7,0.449,7.9,21.4,0.37,11.7,18.6,0.627,11.4,36.3,15,5.13,3.35,12.3,18
74,East Carolina,33,14,19,0.424,-2.84,1,,6,12,,11,5,,1,11,,64.1,65.9,,40.2,22.7,53.8,0.422,7.06,20.1,0.351,11.6,17.1,0.68,10.1,31.8,13.4,6.3,1.94,11.5,17.3
75,East Tennessee State,30,16,14,0.533,-4.8,-4.01,,8,10,,10,4,,6,9,,73.4,71.3,,40.3,24.1,57.1,0.422,9.33,25.5,0.366,15.9,22,0.722,11,35.1,12.7,7.83,2.77,12.7,20.4
76,Eastern Illinois,33,18,15,0.545,-5.52,-2.42,,9,7,,9,5,,7,8,,63.5,64.7,,40.3,22.6,51.4,0.44,7.3,19.5,0.375,11,16.9,0.652,7.73,30.4,13.2,5.64,4.27,12,16.2
77,Eastern Kentucky,33,21,12,0.636,-0.03,-4.16,,11,5,,13,4,,8,7,,71.9,63.6,,40.3,24.8,53.4,0.464,9.06,25.4,0.357,13.3,17,0.779,6.82,26.5,15,9.73,2.97,11.3,16.8
78,Eastern Michigan,35,21,14,0.6,1.96,-0.14,,8,10,,16,3,,4,10,,69.4,63.7,,40.4,23,56.1,0.411,6.57,21.2,0.31,16.8,23.3,0.718,11.5,36.3,10.6,8.71,4.49,11.7,18.8
79,Eastern Washington ,35,26,9,0.743,0.79,-3.84,,14,4,,13,2,,11,6,,80.6,73.9,,40.3,27.9,58.4,0.478,9.83,24.6,0.4,14.9,20.5,0.726,10,33.8,13,6.26,4.77,10.7,17.8
80,Elon,33,15,18,0.455,-5.91,-2.69,,6,12,,8,6,,5,10,,70.6,70.6,,40.5,24.5,57.8,0.423,7.27,20.7,0.351,14.4,21.1,0.683,10.8,34.9,11.9,6.45,1.36,13.3,20.9
81,Evansville,36,24,12,0.667,3.36,-0.07,,9,9,,14,5,,8,5,,70.9,65.6,,40.4,25,51.5,0.485,4.25,12,0.355,16.7,22.3,0.748,7.89,32.4,15.9,5.83,3.58,12.6,17.2
82,Fairfield,31,7,24,0.226,-8.63,-2.31,,5,15,,4,11,,2,11,,59.5,65.8,,40.8,19.8,50.9,0.389,6.39,19.8,0.322,13.5,18.9,0.716,9.23,31.6,10.5,4.97,3.52,12.8,19.1
83,FDU,29,8,21,0.276,-12.22,-4.54,,3,15,,4,9,,4,12,,67.4,73.4,,40.5,23.5,57.2,0.411,7.17,21.7,0.331,13.3,19.2,0.693,10.3,30,11.2,8.69,3.24,12.8,22.3
84,Florida,33,16,17,0.485,13.27,9.67,,8,10,,11,5,,2,9,,63.7,60.1,,40.3,23.2,53.4,0.434,6.61,20.4,0.323,10.6,16.8,0.635,10.5,33.2,13.1,6.91,3.58,12.4,16.9
85,Florida A&M,29,2,27,0.069,-26.04,-8.52,,2,14,,2,9,,0,17,,55.4,72.9,,40,19.3,51.7,0.373,4.1,14.5,0.283,12.7,19.6,0.649,9.69,31.5,8.31,4.93,2.14,14.3,17.9
86,Florida Atlantic,29,9,20,0.31,-7.8,-2.06,,2,16,,7,7,,2,13,,62.6,66.7,,40.2,22.4,53.9,0.417,7.31,21,0.348,10.4,15.4,0.673,9.14,31.2,10.2,4.34,3.41,12.7,18
87,Florida Gulf Coast,33,22,11,0.667,-1.81,-4.98,,11,3,,14,4,,6,6,,67.4,63.2,,40.2,24.7,57.1,0.432,5.97,17.7,0.337,12.1,18.3,0.662,12.2,38.1,14.2,5.61,3.85,11.7,16.9
